Facility ID,Name,Type,Street Address,City,County,State,Zip Code,Facility Phone Number,Latitude,Longitude,Facility Location
1186,North Central Bronx Hospital,Hospital,3424 Kossuth Avenue & 210th Street,Bronx,Bronx,New York,10467,7185193500,40.880512,-73.881538,"(40.880512, -73.881538)"
1473,RUMC-Bayley Seton,Hospital,75 Vanderbilt Avenue,Staten Island,Richmond,New York,10304,7183906000,40.621376,-74.07476,"(40.621376, -74.07476)"
1185,Montefiore Medical Center - Montefiore Westchester Square,Hospital,2475 St. Raymond Avenue,Bronx,Bronx,New York,10461,7184307359,40.840431,-73.848244,"(40.840431, -73.848244)"
482,St. Mary's Healthcare - Amsterdam Memorial Campus,Hospital,4988 Sthwy 30,Amsterdam,Montgomery,New York,12010,5188423100,42.961201,-74.186272,"(42.961201, -74.186272)"
971,Garnet Health Medical Center - Catskills,Hospital,68 Harris-Bushville Road P.O. Box 800,Harris,Sullivan,New York,12742,8457943300,41.706588,-74.735987,"(41.706588, -74.735987)"
1,Albany Medical Center Hospital,Hospital,43 New Scotland Avenue,Albany,Albany,New York,12208,5182623474,42.65337,-73.773834,"(42.65337, -73.773834)"
727,Oswego Hospital,Hospital,110 W Sixth Street,Oswego,Oswego,New York,13126,3153495511,43.454781,-76.516434,"(43.454781, -76.516434)"
896,St. Charles Hospital,Hospital,200 Belle Terre Road,Port Jefferson,Suffolk,New York,11777,6314746600,40.947533,-73.060081,"(40.947533, -73.060081)"
977,Cayuga Medical Center at Ithaca,Hospital,101 Dates Drive,Ithaca,Tompkins,New York,14850,6072744011,42.469826,-76.536896,"(42.469826, -76.536896)"
1097,SJRH - St Johns Division,Hospital,967 North Broadway,Yonkers,Westchester,New York,10701,9149644200,40.968262,-73.885033,"(40.968262, -73.885033)"
1293,Maimonides Midwood Community Hospital,Hospital,2525 Kings Highway,Brooklyn,Kings,New York,11229,7186925300,40.613419,-73.948967,"(40.613419, -73.948967)"
574,Niagara Falls Memorial Medical Center,Hospital,621 Tenth Street,Niagara Falls,Niagara,New York,14302,7162784000,43.094048,-79.0504,"(43.094048, -79.0504)"
1439,Mount Sinai Beth Israel,Hospital,First Ave at 16th Street,New York,New York,New York,10003,2124202873,40.732666,-73.981598,"(40.732666, -73.981598)"
5,St. Peter's Hospital,Hospital,315 South Manning Boulevard,Albany,Albany,New York,12208,5184541550,42.657539,-73.803879,"(42.657539, -73.803879)"
207,Buffalo General Medical Center,Hospital,100 High Street,Buffalo,Erie,New York,14203,7168595600,42.900394,-78.865707,"(42.900394, -78.865707)"
7528,"Mohawk Valley Heart Institute, Inc",Hospital,2209 Genesee Street,Utica,Oneida,New York,13501,3158230808,43.083561,-75.267189,"(43.083561, -75.267189)"
1158,Soldiers and Sailors Memorial Hospital of Yates County,Hospital,418 North Main Street,Penn Yan,Yates,New York,14527,3155312000,42.670712,-77.059822,"(42.670712, -77.059822)"
513,Mercy Hospital,Hospital,1000 North Village Avenue,Rockville Centre,Nassau,New York,11570,5167052525,40.688408,-73.63324,"(40.688408, -73.63324)"
397,Oneida Health Hospital,Hospital,321 Genesee Street,Oneida,Madison,New York,13421,3153636000,43.07869,-75.654449,"(43.07869, -75.654449)"
1737,Staten Island University Hospital Prince's Bay,Hospital,375 Seguine Avenue,Staten Island,Richmond,New York,10309,7182269515,40.516773,-74.196808,"(40.516773, -74.196808)"
98,"Brooks-TLC Hospital System, Inc.",Hospital,529 Central Avenue,Dunkirk,Chautauqua,New York,14048,7163661111,42.480774,-79.33387,"(42.480774, -79.33387)"
990,HealthAlliance Hospital Broadway Campus,Hospital,396 Broadway,Kingston,Ulster,New York,12401,8453342750,41.92643,-73.995453,"(41.92643, -73.995453)"
9431,St. Peter's Addiction Recovery Center,Hospital,3 Mercycare Lane,Guilderland,Albany,New York,12084,5184526701,42.701252,-73.904968,"(42.701252, -73.904968)"
1628,Flushing Hospital Medical Center,Hospital,45th Avenue & Parsons Blvd,Flushing,Queens,New York,11355,7186705918,40.755531,-73.815475,"(40.755531, -73.815475)"
1450,Lenox Hill Hospital,Hospital,100 East 77th Street,New York,New York,New York,10021,2124342060,40.773907,-73.960632,"(40.773907, -73.960632)"
303,The University of Vermont Health Network - Elizabethtown Community Hospital,Hospital,75 Park Street,Elizabethtown,Essex,New York,12932,5188736377,44.215466,-73.596558,"(44.215466, -73.596558)"
340,United Memorial Medical Center Bank Street Campus,Hospital,16 Bank Street,Batavia,Genesee,New York,14020,5853436030,42.998436,-78.181587,"(42.998436, -78.181587)"
