Facility ID,Name,Type,Street Address,City,County,State,Zip Code,Facility Phone Number,Facility Latitude,Facility Longitude,Facility Location
618,Waterville Residential Care Center,Residential Health Care Facility,220 Tower Street,Waterville,Oneida,New York,13480,3158414156,40.572155,-73.990364,"(40.572155, -73.990364)"
3117,Hospice and Palliative Care of Chenango County,Hospice,33 Court Street,Norwich,Chenango,New York,13815,6073343556,40.572429,-73.999179,"(40.572429, -73.999179)"
3341,Jefferson County Public Health Service,Long Term Home Health Care Program,531 Meade Street,Watertown,Jefferson,New York,13601,3157863770,40.573044,-73.993019,"(40.573044, -73.993019)"
3990,HCR / HCR Home Care,Certified Home Health Agency,85 Metro Park,Rochester,Monroe,New York,14623,5852721930,40.573448,-73.994919,"(40.573448, -73.994919)"
7234,Hospice of New York,Hospice,"30-30 47th Avenue, Suite 635",Long Island City,Queens,New York,11101,7184721999,40.574451,-74.002066,"(40.574451, -74.002066)"
7758,Northeast Center for Rehabilitation and Brain Injury,Residential Health Care Facility,300 Grant Ave,Lake Katrine,Ulster,New York,12449,8453363500,40.575246,-73.843793,"(40.575246, -73.843793)"
1218,Beth Abraham Center for Rehabilitation and Nursing,Residential Health Care Facility,612 Allerton Avenue,Bronx,Bronx,New York,10467,7188813000,40.577593,-73.845161,"(40.577593, -73.845161)"
1833,Long Island Community Hospital at NYU Langone Health Home Care,Certified Home Health Agency,103 West Main Street,Patchogue,Suffolk,New York,11772,6317583600,40.57827,-73.835688,"(40.57827, -73.835688)"
123,Chemung County Health Center-Nursing Facility,Residential Health Care Facility,103 Washington Street,Elmira,Chemung,New York,14901,6077372001,40.578274,-73.939247,"(40.578274, -73.939247)"
15032,Maple Rest,Adult Home,61 Rollstone Avenue,West Sayville,Suffolk,New York,11796,6315894840,40.578716,-73.835403,"(40.578716, -73.835403)"
14872,Mount View Assisted Living,Adult Home,5465 Upper Mountain Road,Lockport,Niagara,New York,14094,7164330790,40.579185,-73.834702,"(40.579185, -73.834702)"
14642,Faatz-Crofut Home for the Elderly,Adult Home,46 Grant Avenue,Auburn,Cayuga,New York,13021,3152536141,40.579437,-73.833862,"(40.579437, -73.833862)"
5904,Queens Boulevard Extended Care Facility,Residential Health Care Facility,61-11 Queens Boulevard,Woodside,Queens,New York,11377,7182050287,40.579643,-74.131454,"(40.579643, -74.131454)"
14901,Peregrine Senior Living at Onondaga Hill,Adult Home,4701 Peregrine Way,Syracuse,Onondaga,New York,13207,3154698900,40.581226,-74.131569,"(40.581226, -74.131569)"
4823,Richmond Center for Rehabilitation and Specialty Healthcare,Residential Health Care Facility,91 Tompkins Avenue,Staten Island,Richmond,New York,10304,7188761200,40.581375,-73.965714,"(40.581375, -73.965714)"
14626,Ideal Senior Living Center,Adult Home,600 High Avenue,Endicott,Broome,New York,13760,6077867300,40.583503,-73.933011,"(40.583503, -73.933011)"
14676,Crystal House Manor,Adult Home,"97 Mills Street, P.O. Box 576",Dover Plains,Dutchess,New York,12522,8458776400,40.584164,-73.934738,"(40.584164, -73.934738)"
14771,The Village at Towngate,Adult Home,150 Towngate Road,Rochester,Monroe,New York,14626,5852253010,40.584415,-73.682816,"(40.584415, -73.682816)"
682,Elm Manor Nursing and Rehabilitation Center,Residential Health Care Facility,210 N Main Street,Canandaigua,Ontario,New York,14424,5853943883,40.58449,-73.672127,"(40.58449, -73.672127)"
268,McAuley Residence,Residential Health Care Facility,1503 Military Road,Kenmore,Erie,New York,14217,7164476600,40.584705,-73.682884,"(40.584705, -73.682884)"
3881,United Hospice,Hospice,11 Stokum Lane,New City,Rockland,New York,10956,8456344974,40.584869,-73.930634,"(40.584869, -73.930634)"
171,Mountainside Residential Care Center,Residential Health Care Facility,42158 State Highway #28,Margaretville,Delaware,New York,12455,8455861800,40.585377,-73.931381,"(40.585377, -73.931381)"
14804,Arkell Hall,Adult Home,55 Montgomery Street,Canajoharie,Montgomery,New York,13317,5186735514,40.585977,-73.817784,"(40.585977, -73.817784)"
4706,Americare Certified Special Services Inc,Certified Home Health Agency,5923 Strickland Avenue,Brooklyn,Kings,New York,11234,7185353100,40.590034,-73.667076,"(40.590034, -73.667076)"
15121,Brightview Tarrytown,Adult Home,581 Old White Plains Rd,Tarrytown,Westchester,New York,10591,9142978594,40.592949,-73.793602,"(40.592949, -73.793602)"
5751,Western New York State Veterans Home,Residential Health Care Facility,220 Richmond Avenue,Batavia,Genesee,New York,14020,5853452000,40.593209,-73.777591,"(40.593209, -73.777591)"
6670,Acacia Certified Home Care Company,Certified Home Health Agency,2150 Bleecker Street,Utica,Oneida,New York,13501,3152660614,40.593727,-73.797134,"(40.593727, -73.797134)"
892,San Simeon By the Sound Center for Nursing&Rehabilitation,Residential Health Care Facility,"61700 Route 48, PO Box 2122",Greenport,Suffolk,New York,11944,6314772110,40.593884,-74.135338,"(40.593884, -74.135338)"
5553,Revival Home Health Care,Certified Home Health Agency,5350 Kings Highway,Brooklyn,Kings,New York,11203,7186291000,40.59404,-73.78437,"(40.59404, -73.78437)"
4000,Eddy Village Green,Residential Health Care Facility,421 W Columbia Street,Cohoes,Albany,New York,12047,5182375630,40.59417,-74.062545,"(40.59417, -74.062545)"
1705,Dry Harbor Nursing Home,Residential Health Care Facility,61-35 Dry Harbor Road,Middle Village,Queens,New York,11379,7185654200,40.594276,-73.653496,"(40.594276, -73.653496)"
1841,The Valley View Certified Home Health Agency,Certified Home Health Agency,2 Glenmere Cove Road,Goshen,Orange,New York,10924,8452912330,40.594852,-73.995995,"(40.594852, -73.995995)"
14867,"Briarwood Manor, Inc.",Adult Home,1001 Lincoln Avenue,Lockport,Niagara,New York,14094,7164331513,40.594929,-73.77906,"(40.594929, -73.77906)"
14889,The Nottingham Memory Care Residence,Adult Home,1307 Nottingham Road,Jamesville,Onondaga,New York,13078,3154133945,40.59511,-74.130527,"(40.59511, -74.130527)"
